Model	df	logLik	AIC	AICw	AICc	AICcw	BIC
TrNe+G(4)+I	19	-13572.4027251289	27182.8054502578	1.92783895084855e-49	27182.9077658205	1.96308327440998e-49	27314.203765818
TrN	20	-13549.7069448204	27139.4138896408	5.09833559486827e-40	27139.5269904891	5.16362145239281e-40	27277.7279060199
TrN+I	21	-13469.523854607	26981.047709214	1.247979808991e-05	26981.1721369005	1.2568224927787e-05	27126.2774264121
TrN+G(4)	21	-13480.0348713068	27002.0697426137	3.39884224094024e-10	27002.1941703002	3.42292507222035e-10	27147.2994598118
TrN+G(4)+I	22	-13468.0288629396	26980.0577258792	2.04729161965703e-05	26980.1940221755	2.04959880096363e-05	27132.2031438963
TPM1	17	-13654.105115684	27342.2102313681	4.68556900399999e-84	27342.2926001433	4.81905297135736e-84	27459.7771452904
TPM1+I	18	-13574.7458977199	27185.4917954397	5.03197304672247e-50	27185.583867051	5.1502786199657e-50	27309.9744101809
TPM1+G(4)	18	-13584.909714839	27205.819429678	1.93931615951892e-54	27205.9115012892	1.98491098044134e-54	27330.3020444192
TPM1+G(4)+I	19	-13573.453658666	27184.907317332	6.73994130798036e-50	27185.0096328947	6.86315941815445e-50	27316.3056328922
K81	17	-13654.105115684	27342.2102313681	4.68556900399999e-84	27342.2926001433	4.81905297135736e-84	27459.7771452904
K81+I	18	-13574.7458977199	27185.4917954397	5.03197304672247e-50	27185.583867051	5.1502786199657e-50	27309.9744101809
K81+G(4)	18	-13584.909714839	27205.819429678	1.93931615951892e-54	27205.9115012892	1.98491098044134e-54	27330.3020444192
K81+G(4)+I	19	-13573.453658666	27184.907317332	6.73994130798036e-50	27185.0096328947	6.86315941815445e-50	27316.3056328922
TPM1u	20	-13549.7511414727	27139.5022829454	4.87791307681508e-40	27139.6153837937	4.94037635178477e-40	27277.8162993246
TPM1u+I	21	-13469.5735066077	26981.1470132154	1.18752830264039e-05	26981.2714409019	1.195942651329e-05	27126.3767304135
TPM1u+G(4)	21	-13480.0810763443	27002.1621526886	3.24537147208018e-10	27002.2865803751	3.26836687111988e-10	27147.3918698866
TPM1u+G(4)+I	22	-13468.0666873376	26980.1333746752	1.97130026995505e-05	26980.2696709715	1.97352181332916e-05	27132.2787926922
TPM2	17	-13653.6048282378	27341.2096564755	7.72741818061966e-84	27341.2920252508	7.94755930655293e-84	27458.7765703978
